VALUE;SUB_VALUE;SUB_VALUE2;TPLKZ;FLTYP;FLLEVEL;CODE_SEZ_PM;CODE_SIST;CODE_PARTE;TIPO_ELEM
0H;P2;10;Z-RSS;S;5;0000;18;1841;
0I;P1;03;Z-RSS;S;5;0000;18;1841;
0I;P1;05;Z-RSS;S;5;0000;18;1841;
0I;P1;06;Z-RSS;S;5;0000;18;1841;
0I;P1;07;Z-RSS;S;5;0000;18;1841;
0I;P1;08;Z-RSS;S;5;0000;18;1841;
0I;P1;09;Z-RSS;S;5;0000;18;1841;
0I;P1;10;Z-RSS;S;5;0000;18;1841;
0I;P2;02;Z-RSS;S;5;0000;18;1841;
0I;P2;03;Z-RSS;S;5;0000;18;1841;
0I;P2;04;Z-RSS;S;5;0000;18;1841;
0I;P2;05;Z-RSS;S;5;0000;18;1841;
0I;P2;06;Z-RSS;S;5;0000;18;1841;
0I;P2;07;Z-RSS;S;5;0000;18;1841;
0I;P2;08;Z-RSS;S;5;0000;18;1841;
0I;P2;09;Z-RSS;S;5;0000;18;1841;
0I;P2;10;Z-RSS;S;5;0000;18;1841;
0J;P1;03;Z-RSS;S;5;0000;18;1841;
0J;P1;05;Z-RSS;S;5;0000;18;1841;
0J;P1;06;Z-RSS;S;5;0000;18;1841;
0J;P1;07;Z-RSS;S;5;0000;18;1841;
0J;P1;08;Z-RSS;S;5;0000;18;1841;
0J;P1;09;Z-RSS;S;5;0000;18;1841;
0J;P1;10;Z-RSS;S;5;0000;18;1841;
0J;P2;02;Z-RSS;S;5;0000;18;1841;
0J;P2;03;Z-RSS;S;5;0000;18;1841;
0J;P2;04;Z-RSS;S;5;0000;18;1841;
0J;P2;05;Z-RSS;S;5;0000;18;1841;
0J;P2;06;Z-RSS;S;5;0000;18;1841;
0J;P2;07;Z-RSS;S;5;0000;18;1841;
0J;P2;08;Z-RSS;S;5;0000;18;1841;
0J;P2;09;Z-RSS;S;5;0000;18;1841;
0J;P2;10;Z-RSS;S;5;0000;18;1841;
0K;P1;03;Z-RSS;S;5;0000;18;1841;
0K;P1;05;Z-RSS;S;5;0000;18;1841;
0K;P1;06;Z-RSS;S;5;0000;18;1841;
0K;P1;07;Z-RSS;S;5;0000;18;1841;
0K;P1;08;Z-RSS;S;5;0000;18;1841;
0K;P1;09;Z-RSS;S;5;0000;18;1841;
0K;P1;10;Z-RSS;S;5;0000;18;1841;
