TPLNR	PLTXT	TPLKZ	FLTYP	EQART	BRGEW	GEWEI	GROES	INVNR	DATAB	ANSWT	WAERS	ANSDT	HERST	HERLD	TYPBZ	BAUJJ	BAUMM	MAPAR	SERGE	SWERK	STORT	BEBER	MSGRP	ABCKZ	EQFNR	BUKRS	KOSTL	RBNR	ANLNR	ANLUN	PROID	IWERK	INGRP	GEWRK	WERGW	TPLMA	POSNR	SUBMT	IEQUI	EINZL	NAME1	SORT1	STREET	HOUSE_NUM1	POST_CODE1	CITY1	COUNTRY	REGION	TIME_ZONE	TEL_NUMBER	MOB_NUMBER	FAX_NUMBER	SMTP_ADDR	PARVW	PARNR	TEL_NUMBER_OLD	MOB_NUMBER_OLD	FAX_NUMBER_OLD	ZZITO_CAP_NOM	ZZITO_CAP_PART	PARNR_OLD	SMTP_ADDR_OLD	PARVW_OLD	LONGITUDE	LATITUDE	ALTITUDE	Z_ABCKZ	TRPNR	ADRNRI
COS-COG3-0A-1T-M1	Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1T											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1T-M1-BS	Conexión MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1T-M1											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1T-M1-D1	Seccionador MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1T-M1											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1T-M1-ER	Reactor de puesta a tierra	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1T-M1											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1T-M1-V1	Transf medida/protección MT (TV)	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1T-M1											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1T-M1-ZR	Reactor en derivación	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1T-M1											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1T-M2	Sección MT	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1T											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1T-M2-V1	Transf medida/protección MT (TV)	Z-RSS	S	FL_MVSECT																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1T-M2											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-1T-OC	Obras civiles	Z-RSS	S	FL_INFRAST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-1T											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-2M	Fdr n.02 - Conexión de alimentadores MT	Z-RSS	S	FL_MVFEED																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
