TPLNR	PLTXT	TPLKZ	FLTYP	EQART	BRGEW	GEWEI	GROES	INVNR	DATAB	ANSWT	WAERS	ANSDT	HERST	HERLD	TYPBZ	BAUJJ	BAUMM	MAPAR	SERGE	SWERK	STORT	BEBER	MSGRP	ABCKZ	EQFNR	BUKRS	KOSTL	RBNR	ANLNR	ANLUN	PROID	IWERK	INGRP	GEWRK	WERGW	TPLMA	POSNR	SUBMT	IEQUI	EINZL	NAME1	SORT1	STREET	HOUSE_NUM1	POST_CODE1	CITY1	COUNTRY	REGION	TIME_ZONE	TEL_NUMBER	MOB_NUMBER	FAX_NUMBER	SMTP_ADDR	PARVW	PARNR	TEL_NUMBER_OLD	MOB_NUMBER_OLD	FAX_NUMBER_OLD	ZZITO_CAP_NOM	ZZITO_CAP_PART	PARNR_OLD	SMTP_ADDR_OLD	PARVW_OLD	LONGITUDE	LATITUDE	ALTITUDE	Z_ABCKZ	TRPNR	ADRNRI
COS-COG3-0A-LA-SG-04	Celdas de maniobra MT CTO n. 04	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-05	Celdas de maniobra MT CTO n. 05	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-06	Celdas de maniobra MT CTO n. 06	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-07	Celdas de maniobra MT CTO n. 07	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-08	Celdas de maniobra MT CTO n. 08	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-09	Celdas de maniobra MT CTO n. 09	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-10	Celdas de maniobra MT CTO n. 10	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-11	Celdas de maniobra MT SSAA n. 1	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-12	Celdas de maniobra MT SSAA n. 2	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-13	Celdas de maniobra MT Reserva	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-14	Celdas de maniobra MT Incoming 1	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-15	Celdas de maniobra MT Incoming 2	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-16	Celdas de maniobra MT Incoming 3	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-LA-SG-17	Celdas de maniobra MT Incoming 4	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-LA-SG											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-SA	Equipos servicio auxiliar	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-SA-DG	Generador diésel	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-SA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-SA-EP	Suministro eléctrico externo	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-SA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-SA-FC	HVAC (Climatización)	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-SA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-SA-TR	Trafo servicio auxiliar	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-SA											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-SA-TR-01	Transformador n. 01	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-SA-TR											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-SA-TR-02	Transformador n. 02	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-SA-TR											CO																	-74,80993571	10,571545650408375				
COS-COG3-0A-SA-UP	SAI (Sistema Aliment. Ininterr.)	Z-RSS	S	FL_AUXSYST																COG3	00	18		P		CO13	CO13RE0103	FL00000S				COG3	OSO	I_GYEOP	COG3	COS-COG3-0A-SA											CO																	-74,80993571	10,571545650408375				
