FL,Description,AM Section,AM Part,AM Component,Element Type,Tech.Obj.SAP CODE,Catalog Profile,Source_File,FL_Lunghezza,FL_RE,Check,Check_RE
kkS-yyyy-0A-xT-Mn-Sn,MV Surge Arrester,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-M[0-9]-S[0-9],Sn_Mn_xT_6,S[0-9]_M[0-9]_[1-9A-Z]T_6
kkS-yyyy-0A-xT-Mn-BS,MV Connection,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-M[0-9]-BS,BS_Mn_xT_6,BS_M[0-9]_[1-9A-Z]T_6
kkS-yyyy-0A-xT-Mn-0n,Line protection,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-M[0-9]-0[0-9],0n_Mn_xT_6,0[0-9]_M[0-9]_[1-9A-Z]T_6
kkS-yyyy-0A-xT-Mn-Hn,Harmonic Filter,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-M[0-9]-H[0-9],Hn_Mn_xT_6,H[0-9]_M[0-9]_[1-9A-Z]T_6
kkS-yyyy-0A-xT-Mn-ZR,Shunt Reactor,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-M[0-9]-ZR,ZR_Mn_xT_6,ZR_M[0-9]_[1-9A-Z]T_6
kkS-yyyy-0A-xT-Mn-Zn,Zig Zag Earthing Transformer,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-M[0-9]-Z[0-9],Zn_Mn_xT_6,Z[0-9]_M[0-9]_[1-9A-Z]T_6
kkS-yyyy-0A-xT-Mn-ER,Earthing Reactor,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-M[0-9]-ER,ER_Mn_xT_6,ER_M[0-9]_[1-9A-Z]T_6
kkS-yyyy-0A-xT-Mn-Cn,Capacitor Bank MV,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-M[0-9]-C[0-9],Cn_Mn_xT_6,C[0-9]_M[0-9]_[1-9A-Z]T_6
kkS-yyyy-0A-xT-Mn-Mn,Energy Meter,0000,18,1850,,FL_AUT&CON,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-M[0-9]-M[0-9],Mn_Mn_xT_6,M[0-9]_M[0-9]_[1-9A-Z]T_6
kkS-yyyy-0A-xT-OC,Civil Works,0000,18,1810,,FL_INFRAST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]T-OC,OC_xT_0A_5,OC_[1-9A-Z]T_0A_5
kkS-yyyy-0A-xL,HV Line,0000,18,1850,,FL_LI_SS,FL00000S,Solar_FL_SubStation_Guideline.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L,xL_0A_4,[1-9A-Z]L_0A_4
kkS-yyyy-0A-xL-HV,HV Section,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L-HV,HV_xL_0A_5,HV_[1-9A-Z]L_0A_5
kkS-yyyy-0A-xL-HV-IT,HV Breaker/Circuit Breaker/HGIS,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L-HV-IT,IT_HV_xL_6,IT_HV_[1-9A-Z]L_6
kkS-yyyy-0A-xL-HV-Rn,HV/MV Protective Relays,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L-HV-R[0-9],Rn_HV_xL_6,R[0-9]_HV_[1-9A-Z]L_6
kkS-yyyy-0A-xL-HV-Dn,HV Disconnector,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L-HV-D[0-9],Dn_HV_xL_6,D[0-9]_HV_[1-9A-Z]L_6
kkS-yyyy-0A-xL-HV-Sn,HV Surge Arrester,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L-HV-S[0-9],Sn_HV_xL_6,S[0-9]_HV_[1-9A-Z]L_6
kkS-yyyy-0A-xL-HV-An,HV M&P Transformers CT,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L-HV-A[0-9],An_HV_xL_6,A[0-9]_HV_[1-9A-Z]L_6
kkS-yyyy-0A-xL-HV-Vn,HV M&P Transformers VT,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L-HV-V[0-9],Vn_HV_xL_6,V[0-9]_HV_[1-9A-Z]L_6
kkS-yyyy-0A-xL-HV-BS,HV Connection,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L-HV-BS,BS_HV_xL_6,BS_HV_[1-9A-Z]L_6
kkS-yyyy-0A-xL-HV-Mn,Energy Meter,0000,18,1850,,FL_AUT&CON,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L-HV-M[0-9],Mn_HV_xL_6,M[0-9]_HV_[1-9A-Z]L_6
kkS-yyyy-0A-xL-OC,Civil Works,0000,18,1810,,FL_INFRAST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L-OC,OC_xL_0A_5,OC_[1-9A-Z]L_0A_5
kkS-yyyy-0A-xL-OL,Overhead Power Lines,0000,18,1850,,FL_POWLINE,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L-OL,OL_xL_0A_5,OL_[1-9A-Z]L_0A_5
kkS-yyyy-0A-xL-UL,Underground Power Lines,0000,18,1850,,FL_POWLINE,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]L-UL,UL_xL_0A_5,UL_[1-9A-Z]L_0A_5
kkS-yyyy-0A-xS,HV Busbar,0000,18,1850,,FL_BU_SS,FL00000S,Solar_FL_SubStation_Guideline.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]S,xS_0A_4,[1-9A-Z]S_0A_4
kkS-yyyy-0A-xS-HV,HV Section,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]S-HV,HV_xS_0A_5,HV_[1-9A-Z]S_0A_5
kkS-yyyy-0A-xS-HV-IT,HV Breaker/Circuit Breaker/HGIS,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]S-HV-IT,IT_HV_xS_6,IT_HV_[1-9A-Z]S_6
kkS-yyyy-0A-xS-HV-Rn,HV/MV Protective Relays,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]S-HV-R[0-9],Rn_HV_xS_6,R[0-9]_HV_[1-9A-Z]S_6
kkS-yyyy-0A-xS-HV-Dn,HV Disconnector,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]S-HV-D[0-9],Dn_HV_xS_6,D[0-9]_HV_[1-9A-Z]S_6
kkS-yyyy-0A-xS-HV-Sn,HV Surge Arrester,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]S-HV-S[0-9],Sn_HV_xS_6,S[0-9]_HV_[1-9A-Z]S_6
kkS-yyyy-0A-xS-HV-An,HV M&P Transformers CT,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]S-HV-A[0-9],An_HV_xS_6,A[0-9]_HV_[1-9A-Z]S_6
kkS-yyyy-0A-xS-HV-Vn,HV M&P Transformers VT,0000,18,1850,,FL_HVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]S-HV-V[0-9],Vn_HV_xS_6,V[0-9]_HV_[1-9A-Z]S_6
