FL,Description,AM Section,AM Part,AM Component,Element Type,Tech.Obj.SAP CODE,Catalog Profile,Source_File,FL_Lunghezza,FL_RE,Check,Check_RE
kkS-yyyy-0A-xM-MA,MV Section,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA,MA_xM_0A_5,MA_[1-9A-Z]M_0A_5
kkS-yyyy-0A-xM-MA-In,MV Circuit Breaker,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-I[0-9],In_MA_xM_6,I[0-9]_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-MA-Dx,MV Disconnector,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-D[1-9A-Z],Dx_MA_xM_6,D[1-9A-Z]_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-MA-Ax,MV M&P Transformers CT,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-A[1-9A-Z],Ax_MA_xM_6,A[1-9A-Z]_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-MA-Vx,MV M&P Transformers VT,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-V[1-9A-Z],Vx_MA_xM_6,V[1-9A-Z]_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-MA-Sx,MV Surge Arrester,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-S[1-9A-Z],Sx_MA_xM_6,S[1-9A-Z]_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-MA-BS,MV Connection,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-BS,BS_MA_xM_6,BS_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-MA-0x,Line protection,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-0[1-9A-Z],0x_MA_xM_6,0[1-9A-Z]_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-MA-Hx,Harmonic Filter,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-H[1-9A-Z],Hx_MA_xM_6,H[1-9A-Z]_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-MA-ZR,Shunt Reactor,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-ZR,ZR_MA_xM_6,ZR_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-MA-Zn,Zig Zag Earthing Transformer,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-Z[0-9],Zn_MA_xM_6,Z[0-9]_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-MA-ER,Earthing Reactor,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-ER,ER_MA_xM_6,ER_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-MA-Cx,Capacitor Bank MV,0000,18,1850,,FL_MVSECT,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-C[1-9A-Z],Cx_MA_xM_6,C[1-9A-Z]_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-MA-Mx,Energy Meter,0000,18,1850,,FL_AUT&CON,FL00000S,Solar_FL_SubStation_Guideline.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-MA-M[1-9A-Z],Mx_MA_xM_6,M[1-9A-Z]_MA_[1-9A-Z]M_6
kkS-yyyy-0A-xM-OC,Civil Works,0000,18,1850,,FL_INFRAST,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-OC,OC_xM_0A_5,OC_[1-9A-Z]M_0A_5
kkS-yyyy-0A-xM-OL,Overhead Power Lines,0000,18,1850,,FL_POWLINE,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-OL,OL_xM_0A_5,OL_[1-9A-Z]M_0A_5
kkS-yyyy-0A-xM-UL,Underground Power Lines,0000,18,1850,,FL_POWLINE,FL00000S,Solar_FL_SubStation_Guideline.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-0A-[1-9A-Z]M-UL,UL_xM_0A_5,UL_[1-9A-Z]M_0A_5
kkS-yyyy-00,Common Infrastructures and services,,,,,,FL00000S,Solar_FL_Common_GuideLine.csv,3,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00,,
kkS-yyyy-00-PV,PV system,0000,18,1860,SPV,FL_DCSYST,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-PV,PV_00_4,PV_00_4
kkS-yyyy-00-PV-CL,wiring and cabling,0000,18,1860,SPV,FL_DCSYST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-PV-CL,CL_PV_00_5,CL_PV_00_5
kkS-yyyy-00-PV-SC,wiring and solar connections,0000,18,1860,SPV,FL_DCSYST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-PV-SC,SC_PV_00_5,SC_PV_00_5
kkS-yyyy-00-PV-CC,connectors,0000,18,1860,CLE,FL_DCSYST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-PV-CC,CC_PV_00_5,CC_PV_00_5
kkS-yyyy-00-PV-SM,solar modules,0000,18,1860,SPV,FL_DCSYST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-PV-SM,SM_PV_00_5,SM_PV_00_5
kkS-yyyy-00-VC,"Buildings, Areas and Roads",0000,18,1810,ALE,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-VC,VC_00_4,VC_00_4
kkS-yyyy-00-VC-BU,buildings,0000,18,1810,ALE,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-VC-BU,BU_VC_00_5,BU_VC_00_5
kkS-yyyy-00-VC-FE,fences and gates,0000,18,1810,ALE,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-VC-FE,FE_VC_00_5,FE_VC_00_5
kkS-yyyy-00-VC-GA,green areas,0000,18,1811,ALE,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-VC-GA,GA_VC_00_5,GA_VC_00_5
kkS-yyyy-00-VC-RO,internal roads,0000,18,1810,ALE,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-VC-RO,RO_VC_00_5,RO_VC_00_5
kkS-yyyy-00-IL,Overhead lighting,0000,18,1850,ALE,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-IL,IL_00_4,IL_00_4
kkS-yyyy-00-IL-LU,luminaries,0000,18,1850,ALE,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-IL-LU,LU_IL_00_5,LU_IL_00_5
kkS-yyyy-00-IL-LS,lamps,0000,18,1850,ALE,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-IL-LS,LS_IL_00_5,LS_IL_00_5
kkS-yyyy-00-IL-PL,poles,0000,18,1850,ALE,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-IL-PL,PL_IL_00_5,PL_IL_00_5
kkS-yyyy-00-IL-CL,LV cables,0000,18,1850,ALE,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-IL-CL,CL_IL_00_5,CL_IL_00_5
kkS-yyyy-00-IT,Communications System,0000,18,1880,ALE,FL_AUT&CON,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-IT,IT_00_4,IT_00_4
kkS-yyyy-00-SS,Plant Security System,0000,18,1850,STS,FL_SECSYST,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-SS,SS_00_4,SS_00_4
kkS-yyyy-00-SS-VS,Videosurveillance system,0000,18,1850,ALE,FL_SECSYST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-SS-VS,VS_SS_00_5,VS_SS_00_5
kkS-yyyy-00-SS-IR,Anti intrusion system,0000,18,1850,ALE,FL_SECSYST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-SS-IR,IR_SS_00_5,IR_SS_00_5
kkS-yyyy-00-IC,Internal Communications,0000,18,1850,,FL_OTHER,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-IC,IC_00_4,IC_00_4
kkS-yyyy-00-IC-HT,Telephone Devices,0000,18,1850,,FL_OTHER,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-IC-HT,HT_IC_00_5,HT_IC_00_5
kkS-yyyy-00-TC,SCADA System,0000,18,1880,SCA,FL_AUT&CON,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC,TC_00_4,TC_00_4
kkS-yyyy-00-TC-LN,Internal LAN,0000,18,1880,SCA,FL_AUT&CON,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC-LN,LN_TC_00_5,LN_TC_00_5
kkS-yyyy-00-TC-AP,Scada Devices,0000,18,1880,SCA,FL_AUT&CON,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC-AP,AP_TC_00_5,AP_TC_00_5
kkS-yyyy-00-TC-SM,Permanent Met Towers,0000,18,1880,SCA,FL_METSENS,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC-SM,SM_TC_00_5,SM_TC_00_5
kkS-yyyy-00-TC-SM-IR,Irradiance,0000,18,1880,SCA,FL_METSENS,FL00000S,Solar_FL_Common_GuideLine.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC-SM-IR,IR_SM_TC_6,IR_SM_TC_6
kkS-yyyy-00-TC-SM-PR,Ambient Pressure,0000,18,1880,SCA,FL_METSENS,FL00000S,Solar_FL_Common_GuideLine.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC-SM-PR,PR_SM_TC_6,PR_SM_TC_6
kkS-yyyy-00-TC-SM-TA,Ambient Temperature,0000,18,1880,SCA,FL_METSENS,FL00000S,Solar_FL_Common_GuideLine.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC-SM-TA,TA_SM_TC_6,TA_SM_TC_6
kkS-yyyy-00-TC-SM-TM,Module Temperature sensor,0000,18,1880,SCA,FL_METSENS,FL00000S,Solar_FL_Common_GuideLine.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC-SM-TM,TM_SM_TC_6,TM_SM_TC_6
kkS-yyyy-00-TC-SM-HU,Hummidity,0000,18,1880,SCA,FL_METSENS,FL00000S,Solar_FL_Common_GuideLine.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC-SM-HU,HU_SM_TC_6,HU_SM_TC_6
kkS-yyyy-00-TC-SM-WI,Wind intensity,0000,18,1880,SCA,FL_METSENS,FL00000S,Solar_FL_Common_GuideLine.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC-SM-WI,WI_SM_TC_6,WI_SM_TC_6
kkS-yyyy-00-TC-SM-WU,Wind direction,0000,18,1880,SCA,FL_METSENS,FL00000S,Solar_FL_Common_GuideLine.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC-SM-WU,WU_SM_TC_6,WU_SM_TC_6
kkS-yyyy-00-TC-SM-RI,Rain intensity sensor,0000,18,1880,SCA,FL_METSENS,FL00000S,Solar_FL_Common_GuideLine.csv,6,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC-SM-RI,RI_SM_TC_6,RI_SM_TC_6
kkS-yyyy-00-TC-HI,Human machine interface,0000,18,1880,SCA,FL_AUT&CON,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-TC-HI,HI_TC_00_5,HI_TC_00_5
kkS-yyyy-00-FF,Fire Protection System,0000,18,1850,ALE,FL_SAFSYST,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-FF,FF_00_4,FF_00_4
kkS-yyyy-00-GG,Grounding grid,0000,18,1840,ALE,FL_SAFSYST,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-GG,GG_00_4,GG_00_4
kkS-yyyy-00-AS,Anti rodent system,0000,18,1850,ALE,FL_OTHER,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-AS,AS_00_4,AS_00_4
kkS-yyyy-00-CL,Underground Cables and Overhead Power Lines,0000,18,1840,CLE,FL_POWLINE,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-CL,CL_00_4,CL_00_4
kkS-yyyy-00-CL-MC,MV cables,0000,18,1840,CLE,FL_POWLINE,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-CL-MC,MC_CL_00_5,MC_CL_00_5
kkS-yyyy-00-CL-JC,MV junctions and connections,0000,18,1840,CLE,FL_POWLINE,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-CL-JC,JC_CL_00_5,JC_CL_00_5
kkS-yyyy-00-CL-CT,Cable trays,0000,18,1840,CLE,FL_POWLINE,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-CL-CT,CT_CL_00_5,CT_CL_00_5
kkS-yyyy-00-Tn,LV/MV Field Transformer,0000,18,1842,TRF,FL_TRANSF,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-T[0-9],Tn_00_4,T[0-9]_00_4
kkS-yyyy-00-OC,Civil Works,0000,18,1810,OPC,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-OC,OC_00_4,OC_00_4
kkS-yyyy-00-OC-WS,Sheaths,0000,18,1810,OPC,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-OC-WS,WS_OC_00_5,WS_OC_00_5
kkS-yyyy-00-OC-MF,Metallic frame,0000,18,1810,OPC,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-OC-MF,MF_OC_00_5,MF_OC_00_5
kkS-yyyy-00-OC-FO,Foundations,0000,18,1810,OPC,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-OC-FO,FO_OC_00_5,FO_OC_00_5
kkS-yyyy-00-OC-MR,Dirt Work,0000,18,1810,,FL_INFRAST,FL00000S,Solar_FL_Common_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-00-OC-MR,MR_OC_00_5,MR_OC_00_5
kkS-yyyy-ZZ,Systems and Various Equipment,,,,,,FL00000S,Solar_FL_Common_GuideLine.csv,3,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-ZZ,,
kkS-yyyy-ZZ-GE,Generator Group,0000,18,1850,,FL_OTHER,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-ZZ-GE,GE_ZZ_4,GE_ZZ_4
kkS-yyyy-ZZ-VB,Systems and Various Equipment,0000,18,1850,,,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-ZZ-VB,VB_ZZ_4,VB_ZZ_4
kkS-yyyy-ZZ-VD,Water Network and Sanitation,0000,18,1810,,,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-ZZ-VD,VD_ZZ_4,VD_ZZ_4
kkS-yyyy-9Z,Logistic tools,0000,18,1850,,FL_OTHER,FL00000S,Solar_FL_Common_GuideLine.csv,3,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-9Z,,
kkS-yyyy-9Z-01,Tools for workshop and laboratory,0000,18,1850,,FL_OTHER,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-9Z-01,01_9Z_4,01_9Z_4
kkS-yyyy-9Z-02,Office furniture,0000,18,1850,,FL_OTHER,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-9Z-02,02_9Z_4,02_9Z_4
kkS-yyyy-9Z-03,Office machinery,0000,18,1850,,FL_OTHER,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-9Z-03,03_9Z_4,03_9Z_4
kkS-yyyy-9Z-04,Special vehicles,0000,18,1850,,FL_OTHER,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-9Z-04,04_9Z_4,04_9Z_4
kkS-yyyy-9Z-05,"Computers, printers and other",0000,18,1850,,FL_OTHER,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-9Z-05,05_9Z_4,05_9Z_4
kkS-yyyy-9Z-06,Safety equipment,0000,18,1850,,FL_SAFSYST,FL00000S,Solar_FL_Common_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-9Z-06,06_9Z_4,06_9Z_4
kkS-yyyy-yn,CT_<ID_FIELD>,0000,,,,,FL00000S,Solar_FL_StringInv_GuideLine.csv,3,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9],,
kkS-yyyy-yn-OC,Civil Works,0000,18,1810,OPC,FL_INFRAST,FL00000S,Solar_FL_StringInv_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-OC,OC_yn_4,OC_[0-9A-Z][0-9]_4
kkS-yyyy-yn-OC-WS,Sheaths,0000,18,1810,OPC,FL_INFRAST,FL00000S,Solar_FL_StringInv_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-OC-WS,WS_OC_yn_5,WS_OC_[0-9A-Z][0-9]_5
kkS-yyyy-yn-OC-MF,Metallic frame,0000,18,1810,OPC,FL_INFRAST,FL00000S,Solar_FL_StringInv_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-OC-MF,MF_OC_yn_5,MF_OC_[0-9A-Z][0-9]_5
kkS-yyyy-yn-OC-FO,Foundations,0000,18,1810,OPC,FL_INFRAST,FL00000S,Solar_FL_StringInv_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-OC-FO,FO_OC_yn_5,FO_OC_[0-9A-Z][0-9]_5
kkS-yyyy-yn-OC-MR,Dirt Work,0000,18,1810,,FL_INFRAST,FL00000S,Solar_FL_StringInv_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-OC-MR,MR_OC_yn_5,MR_OC_[0-9A-Z][0-9]_5
kkS-yyyy-yn-MV,MV Section,0000,18,1840,SCC,FL_MVSECT,FL00000S,Solar_FL_StringInv_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-MV,MV_yn_4,MV_[0-9A-Z][0-9]_4
kkS-yyyy-yn-MV-CL,MV cables,0000,18,1840,ALE,FL_MVSECT,,Solar_FL_StringInv_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-MV-CL,CL_MV_yn_5,CL_MV_[0-9A-Z][0-9]_5
kkS-yyyy-yn-MV-IT,MV Switchgear,0000,18,1840,SCC,FL_MVSECT,FL00000S,Solar_FL_StringInv_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-MV-IT,IT_MV_yn_5,IT_MV_[0-9A-Z][0-9]_5
kkS-yyyy-yn-MV-PR,MV Protective Systems,0000,18,1840,CLE,FL_MVSECT,FL00000S,Solar_FL_StringInv_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-MV-PR,PR_MV_yn_5,PR_MV_[0-9A-Z][0-9]_5
kkS-yyyy-yn-MV-SZ,MV On Load Transformer Switch,0000,18,1840,,FL_MVSECT,FL00000S,Solar_FL_StringInv_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-MV-SZ,SZ_MV_yn_5,SZ_MV_[0-9A-Z][0-9]_5
kkS-yyyy-yn-CE,Energy Meters,0000,18,1880,ALE,FL_AUT&CON,FL00000S,Solar_FL_StringInv_GuideLine.csv,4,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-CE,CE_yn_4,CE_[0-9A-Z][0-9]_4
kkS-yyyy-yn-CE-CA,Auxiliary meter,0000,18,1880,ALE,FL_AUT&CON,FL00000S,Solar_FL_StringInv_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-CE-CA,CA_CE_yn_5,CA_CE_[0-9A-Z][0-9]_5
kkS-yyyy-yn-CE-CR,AC Revenue Meter,0000,18,1880,ALE,FL_AUT&CON,FL00000S,Solar_FL_StringInv_GuideLine.csv,5,[A-Z][A-Z]S-[0-9A-Z][0-9A-Z][0-9A-Z][0-9A-Z]-[0-9A-Z][0-9]-CE-CR,CR_CE_yn_5,CR_CE_[0-9A-Z][0-9]_5
