FL,Livello_1,Livello_2,Livello_3,Livello_4,Livello_5,Livello_6,FL_Lunghezza,Check,Check_Result
USS-USJ6,USS,USJ6,,,,,2,,True
USS-USJ6-00,USS,USJ6,00,,,,3,,True
USS-USJ6-00-PV,USS,USJ6,00,PV,,,4,PV_00_4,True
USS-USJ6-00-PV-CL,USS,USJ6,00,PV,CL,,5,CL_PV_00_5,True
USS-USJ6-00-PV-SC,USS,USJ6,00,PV,SC,,5,SC_PV_00_5,True
USS-USJ6-00-PV-CC,USS,USJ6,00,PV,CC,,5,CC_PV_00_5,True
USS-USJ6-00-PV-SM,USS,USJ6,00,PV,SM,,5,SM_PV_00_5,True
USS-USJ6-00-VC,USS,USJ6,00,VC,,,4,VC_00_4,True
USS-USJ6-00-VC-BU,USS,USJ6,00,VC,BU,,5,BU_VC_00_5,True
USS-USJ6-00-VC-FE,USS,USJ6,00,VC,FE,,5,FE_VC_00_5,True
USS-USJ6-00-VC-GA,USS,USJ6,00,VC,GA,,5,GA_VC_00_5,True
USS-USJ6-00-VC-RO,USS,USJ6,00,VC,RO,,5,RO_VC_00_5,True
USS-USJ6-00-IL,USS,USJ6,00,IL,,,4,IL_00_4,True
USS-USJ6-00-IL-LU,USS,USJ6,00,IL,LU,,5,LU_IL_00_5,True
USS-USJ6-00-IL-LS,USS,USJ6,00,IL,LS,,5,LS_IL_00_5,True
USS-USJ6-00-IL-PL,USS,USJ6,00,IL,PL,,5,PL_IL_00_5,True
USS-USJ6-00-IL-CL,USS,USJ6,00,IL,CL,,5,CL_IL_00_5,True
USS-USJ6-00-IT,USS,USJ6,00,IT,,,4,IT_00_4,True
USS-USJ6-00-SS,USS,USJ6,00,SS,,,4,SS_00_4,True
USS-USJ6-00-SS-VS,USS,USJ6,00,SS,VS,,5,VS_SS_00_5,True
USS-USJ6-00-SS-IR,USS,USJ6,00,SS,IR,,5,IR_SS_00_5,True
USS-USJ6-00-IC,USS,USJ6,00,IC,,,4,IC_00_4,True
USS-USJ6-00-IC-HT,USS,USJ6,00,IC,HT,,5,HT_IC_00_5,True
USS-USJ6-00-TC,USS,USJ6,00,TC,,,4,TC_00_4,True
USS-USJ6-00-TC-LN,USS,USJ6,00,TC,LN,,5,LN_TC_00_5,True
USS-USJ6-00-TC-AP,USS,USJ6,00,TC,AP,,5,AP_TC_00_5,True
USS-USJ6-00-FF,USS,USJ6,00,FF,,,4,FF_00_4,True
USS-USJ6-00-GG,USS,USJ6,00,GG,,,4,GG_00_4,True
USS-USJ6-00-AS,USS,USJ6,00,AS,,,4,AS_00_4,True
USS-USJ6-00-OC,USS,USJ6,00,OC,,,4,OC_00_4,True
USS-USJ6-00-OC-FO,USS,USJ6,00,OC,FO,,5,FO_OC_00_5,True
USS-USJ6-00-OC-MR,USS,USJ6,00,OC,MR,,5,MR_OC_00_5,True
USS-USJ6-ZZ,USS,USJ6,ZZ,,,,3,,True
USS-USJ6-ZZ-VB,USS,USJ6,ZZ,VB,,,4,VB_ZZ_4,True
USS-USJ6-ZZ-VD,USS,USJ6,ZZ,VD,,,4,VD_ZZ_4,True
USS-USJ6-01,USS,USJ6,01,,,,3,,True
USS-USJ6-01-01,USS,USJ6,01,01,,,4,01_01_4,True
USS-USJ6-01-01-01,USS,USJ6,01,01,01,,5,01_01_01_5,True
USS-USJ6-01-01-01-01,USS,USJ6,01,01,01,01,6,01_01_01_6,True
USS-USJ6-01-01-01-TT,USS,USJ6,01,01,01,TT,6,TT_01_01_6,True
USS-USJ6-01-01-02,USS,USJ6,01,01,02,,5,02_01_01_5,True
USS-USJ6-01-01-02-01,USS,USJ6,01,01,02,01,6,01_02_01_6,True
USS-USJ6-01-01-02-TT,USS,USJ6,01,01,02,TT,6,TT_02_01_6,True
USS-USJ6-01-01-03,USS,USJ6,01,01,03,,5,03_01_01_5,True
USS-USJ6-01-01-03-01,USS,USJ6,01,01,03,01,6,01_03_01_6,True
USS-USJ6-01-01-03-TT,USS,USJ6,01,01,03,TT,6,TT_03_01_6,True
USS-USJ6-01-01-04,USS,USJ6,01,01,04,,5,04_01_01_5,True
USS-USJ6-01-01-04-01,USS,USJ6,01,01,04,01,6,01_04_01_6,True
USS-USJ6-01-01-04-TT,USS,USJ6,01,01,04,TT,6,TT_04_01_6,True
USS-USJ6-01-01-05,USS,USJ6,01,01,05,,5,05_01_01_5,True
USS-USJ6-01-01-05-01,USS,USJ6,01,01,05,01,6,01_05_01_6,True
USS-USJ6-01-01-05-TT,USS,USJ6,01,01,05,TT,6,TT_05_01_6,True
USS-USJ6-01-01-06,USS,USJ6,01,01,06,,5,06_01_01_5,True
USS-USJ6-01-01-06-01,USS,USJ6,01,01,06,01,6,01_06_01_6,True
USS-USJ6-01-01-06-TT,USS,USJ6,01,01,06,TT,6,TT_06_01_6,True
USS-USJ6-01-01-07,USS,USJ6,01,01,07,,5,07_01_01_5,True
USS-USJ6-01-01-07-01,USS,USJ6,01,01,07,01,6,01_07_01_6,True
USS-USJ6-01-01-07-TT,USS,USJ6,01,01,07,TT,6,TT_07_01_6,True
USS-USJ6-01-01-08,USS,USJ6,01,01,08,,5,08_01_01_5,True
USS-USJ6-01-01-08-01,USS,USJ6,01,01,08,01,6,01_08_01_6,True
USS-USJ6-01-01-08-TT,USS,USJ6,01,01,08,TT,6,TT_08_01_6,True
USS-USJ6-01-01-09,USS,USJ6,01,01,09,,5,09_01_01_5,True
USS-USJ6-01-01-09-01,USS,USJ6,01,01,09,01,6,01_09_01_6,True
USS-USJ6-01-01-09-TT,USS,USJ6,01,01,09,TT,6,TT_09_01_6,True
USS-USJ6-01-01-10,USS,USJ6,01,01,10,,5,10_01_01_5,True
USS-USJ6-01-01-10-01,USS,USJ6,01,01,10,01,6,01_10_01_6,True
USS-USJ6-01-01-10-TT,USS,USJ6,01,01,10,TT,6,TT_10_01_6,True
USS-USJ6-01-01-11,USS,USJ6,01,01,11,,5,11_01_01_5,True
USS-USJ6-01-01-11-01,USS,USJ6,01,01,11,01,6,01_11_01_6,True
USS-USJ6-01-01-11-TT,USS,USJ6,01,01,11,TT,6,TT_11_01_6,True
USS-USJ6-01-01-12,USS,USJ6,01,01,12,,5,12_01_01_5,True
USS-USJ6-01-01-12-01,USS,USJ6,01,01,12,01,6,01_12_01_6,True
USS-USJ6-01-01-12-TT,USS,USJ6,01,01,12,TT,6,TT_12_01_6,True
USS-USJ6-01-01-13,USS,USJ6,01,01,13,,5,13_01_01_5,True
USS-USJ6-01-01-13-01,USS,USJ6,01,01,13,01,6,01_13_01_6,True
USS-USJ6-01-01-13-TT,USS,USJ6,01,01,13,TT,6,TT_13_01_6,True
USS-USJ6-01-01-14,USS,USJ6,01,01,14,,5,14_01_01_5,True
USS-USJ6-01-01-14-01,USS,USJ6,01,01,14,01,6,01_14_01_6,True
USS-USJ6-01-01-14-TT,USS,USJ6,01,01,14,TT,6,TT_14_01_6,True
USS-USJ6-01-01-15,USS,USJ6,01,01,15,,5,15_01_01_5,True
USS-USJ6-01-01-15-01,USS,USJ6,01,01,15,01,6,01_15_01_6,True
USS-USJ6-01-01-15-TT,USS,USJ6,01,01,15,TT,6,TT_15_01_6,True
USS-USJ6-01-01-16,USS,USJ6,01,01,16,,5,16_01_01_5,True
USS-USJ6-01-01-16-01,USS,USJ6,01,01,16,01,6,01_16_01_6,True
USS-USJ6-01-01-16-TT,USS,USJ6,01,01,16,TT,6,TT_16_01_6,True
USS-USJ6-01-01-17,USS,USJ6,01,01,17,,5,17_01_01_5,True
USS-USJ6-01-01-17-01,USS,USJ6,01,01,17,01,6,01_17_01_6,True
USS-USJ6-01-01-17-TT,USS,USJ6,01,01,17,TT,6,TT_17_01_6,True
USS-USJ6-01-01-18,USS,USJ6,01,01,18,,5,18_01_01_5,True
USS-USJ6-01-01-18-01,USS,USJ6,01,01,18,01,6,01_18_01_6,True
USS-USJ6-01-01-18-TT,USS,USJ6,01,01,18,TT,6,TT_18_01_6,True
USS-USJ6-01-01-19,USS,USJ6,01,01,19,,5,19_01_01_5,True
USS-USJ6-01-01-19-01,USS,USJ6,01,01,19,01,6,01_19_01_6,True
USS-USJ6-01-01-19-TT,USS,USJ6,01,01,19,TT,6,TT_19_01_6,True
USS-USJ6-01-01-20,USS,USJ6,01,01,20,,5,20_01_01_5,True
USS-USJ6-01-01-20-01,USS,USJ6,01,01,20,01,6,01_20_01_6,True
USS-USJ6-01-01-20-TT,USS,USJ6,01,01,20,TT,6,TT_20_01_6,True
USS-USJ6-01-01-21,USS,USJ6,01,01,21,,5,21_01_01_5,True
USS-USJ6-01-01-21-01,USS,USJ6,01,01,21,01,6,01_21_01_6,True
USS-USJ6-01-01-21-TT,USS,USJ6,01,01,21,TT,6,TT_21_01_6,True
USS-USJ6-01-01-AC,USS,USJ6,01,01,AC,,5,AC_01_01_5,True
USS-USJ6-01-01-AC-GC,USS,USJ6,01,01,AC,GC,6,GC_AC_01_6,True
USS-USJ6-01-01-AC-IP,USS,USJ6,01,01,AC,IP,6,IP_AC_01_6,True
USS-USJ6-01-01-AR,USS,USJ6,01,01,AR,,5,AR_01_01_5,True
USS-USJ6-01-01-CO,USS,USJ6,01,01,CO,,5,CO_01_01_5,True
USS-USJ6-01-01-D1,USS,USJ6,01,01,D1,,5,D1_01_01_5,True
USS-USJ6-01-01-D1-GI,USS,USJ6,01,01,D1,GI,6,GI_D1_01_6,True
USS-USJ6-01-01-D1-MP,USS,USJ6,01,01,D1,MP,6,MP_D1_01_6,True
USS-USJ6-01-01-DS,USS,USJ6,01,01,DS,,5,DS_01_01_5,True
USS-USJ6-01-01-FU,USS,USJ6,01,01,FU,,5,FU_01_01_5,True
USS-USJ6-01-01-HI,USS,USJ6,01,01,HI,,5,HI_01_01_5,True
USS-USJ6-01-01-IS,USS,USJ6,01,01,IS,,5,IS_01_01_5,True
USS-USJ6-01-01-IT,USS,USJ6,01,01,IT,,5,IT_01_01_5,True
USS-USJ6-01-01-PS,USS,USJ6,01,01,PS,,5,PS_01_01_5,True
USS-USJ6-01-01-RC,USS,USJ6,01,01,RC,,5,RC_01_01_5,True
USS-USJ6-01-01-TK,USS,USJ6,01,01,TK,,5,TK_01_01_5,True
USS-USJ6-01-CL,USS,USJ6,01,CL,,,4,CL_01_4,True
USS-USJ6-01-LV,USS,USJ6,01,LV,,,4,LV_01_4,True
USS-USJ6-01-LV-CL,USS,USJ6,01,LV,CL,,5,CL_LV_01_5,True
USS-USJ6-01-LV-LA,USS,USJ6,01,LV,LA,,5,LA_LV_01_5,True
USS-USJ6-01-LV-LA-IT,USS,USJ6,01,LV,LA,IT,6,IT_LA_LV_6,True
USS-USJ6-01-LV-LA-TR,USS,USJ6,01,LV,LA,TR,6,TR_LA_LV_6,True
USS-USJ6-01-LV-LA-UN,USS,USJ6,01,LV,LA,UN,6,UN_LA_LV_6,True
USS-USJ6-01-LV-LA-UP,USS,USJ6,01,LV,LA,UP,6,UP_LA_LV_6,True
USS-USJ6-01-LV-LP,USS,USJ6,01,LV,LP,,5,LP_LV_01_5,True
USS-USJ6-01-LV-LP-01,USS,USJ6,01,LV,LP,01,6,01_LP_LV_6,True
USS-USJ6-01-LV-LP-CO,USS,USJ6,01,LV,LP,CO,6,CO_LP_LV_6,True
USS-USJ6-01-MV,USS,USJ6,01,MV,,,4,MV_01_4,True
USS-USJ6-01-MV-CL,USS,USJ6,01,MV,CL,,5,CL_MV_01_5,True
USS-USJ6-01-MV-IT,USS,USJ6,01,MV,IT,,5,IT_MV_01_5,True
USS-USJ6-01-MV-PR,USS,USJ6,01,MV,PR,,5,PR_MV_01_5,True
USS-USJ6-01-MV-SZ,USS,USJ6,01,MV,SZ,,5,SZ_MV_01_5,True
USS-USJ6-01-OC,USS,USJ6,01,OC,,,4,OC_01_4,True
USS-USJ6-01-OC-FO,USS,USJ6,01,OC,FO,,5,FO_OC_01_5,True
USS-USJ6-01-OC-MR,USS,USJ6,01,OC,MR,,5,MR_OC_01_5,True
USS-USJ6-01-ST,USS,USJ6,01,ST,,,4,ST_01_4,True
USS-USJ6-01-ST-S1,USS,USJ6,01,ST,S1,,5,S1_ST_01_5,True
USS-USJ6-01-ST-S2,USS,USJ6,01,ST,S2,,5,S2_ST_01_5,True
USS-USJ6-01-ST-S4,USS,USJ6,01,ST,S4,,5,S4_ST_01_5,True
USS-USJ6-01-T1,USS,USJ6,01,T1,,,4,T1_01_4,True
USS-USJ6-01-T1-PT,USS,USJ6,01,T1,PT,,5,PT_T1_01_5,True
USS-USJ6-01-TC,USS,USJ6,01,TC,,,4,TC_01_4,True
USS-USJ6-01-TC-AP,USS,USJ6,01,TC,AP,,5,AP_TC_01_5,True
USS-USJ6-01-TC-LN,USS,USJ6,01,TC,LN,,5,LN_TC_01_5,True
USS-USJ6-01-TS,USS,USJ6,01,TS,,,4,TS_01_4,True
USS-USJ6-01-TS-TA,USS,USJ6,01,TS,TA,,5,TA_TS_01_5,True
USS-USJ6-01-TS-TS,USS,USJ6,01,TS,TS,,5,TS_TS_01_5,True
USS-USJ6-01-TT,USS,USJ6,01,TT,,,4,TT_01_4,True
USS-USJ6-01-UP,USS,USJ6,01,UP,,,4,UP_01_4,True
USS-USJ6-02,USS,USJ6,02,,,,3,,True
USS-USJ6-02-01,USS,USJ6,02,01,,,4,01_02_4,True
USS-USJ6-02-01-01,USS,USJ6,02,01,01,,5,01_01_02_5,True
USS-USJ6-02-01-01-01,USS,USJ6,02,01,01,01,6,01_01_01_6,True
USS-USJ6-02-01-01-TT,USS,USJ6,02,01,01,TT,6,TT_01_01_6,True
USS-USJ6-02-01-02,USS,USJ6,02,01,02,,5,02_01_02_5,True
USS-USJ6-02-01-02-01,USS,USJ6,02,01,02,01,6,01_02_01_6,True
USS-USJ6-02-01-02-TT,USS,USJ6,02,01,02,TT,6,TT_02_01_6,True
USS-USJ6-02-01-03,USS,USJ6,02,01,03,,5,03_01_02_5,True
USS-USJ6-02-01-03-01,USS,USJ6,02,01,03,01,6,01_03_01_6,True
USS-USJ6-02-01-03-TT,USS,USJ6,02,01,03,TT,6,TT_03_01_6,True
USS-USJ6-02-01-04,USS,USJ6,02,01,04,,5,04_01_02_5,True
USS-USJ6-02-01-04-01,USS,USJ6,02,01,04,01,6,01_04_01_6,True
USS-USJ6-02-01-04-TT,USS,USJ6,02,01,04,TT,6,TT_04_01_6,True
USS-USJ6-02-01-05,USS,USJ6,02,01,05,,5,05_01_02_5,True
USS-USJ6-02-01-05-01,USS,USJ6,02,01,05,01,6,01_05_01_6,True
USS-USJ6-02-01-05-TT,USS,USJ6,02,01,05,TT,6,TT_05_01_6,True
USS-USJ6-02-01-06,USS,USJ6,02,01,06,,5,06_01_02_5,True
USS-USJ6-02-01-06-01,USS,USJ6,02,01,06,01,6,01_06_01_6,True
USS-USJ6-02-01-06-TT,USS,USJ6,02,01,06,TT,6,TT_06_01_6,True
USS-USJ6-02-01-07,USS,USJ6,02,01,07,,5,07_01_02_5,True
USS-USJ6-02-01-07-01,USS,USJ6,02,01,07,01,6,01_07_01_6,True
USS-USJ6-02-01-07-TT,USS,USJ6,02,01,07,TT,6,TT_07_01_6,True
USS-USJ6-02-01-08,USS,USJ6,02,01,08,,5,08_01_02_5,True
USS-USJ6-02-01-08-01,USS,USJ6,02,01,08,01,6,01_08_01_6,True
USS-USJ6-02-01-08-TT,USS,USJ6,02,01,08,TT,6,TT_08_01_6,True
USS-USJ6-02-01-09,USS,USJ6,02,01,09,,5,09_01_02_5,True
USS-USJ6-02-01-09-01,USS,USJ6,02,01,09,01,6,01_09_01_6,True
USS-USJ6-02-01-09-TT,USS,USJ6,02,01,09,TT,6,TT_09_01_6,True
USS-USJ6-02-01-10,USS,USJ6,02,01,10,,5,10_01_02_5,True
USS-USJ6-02-01-10-01,USS,USJ6,02,01,10,01,6,01_10_01_6,True
USS-USJ6-02-01-10-TT,USS,USJ6,02,01,10,TT,6,TT_10_01_6,True
USS-USJ6-02-01-11,USS,USJ6,02,01,11,,5,11_01_02_5,True
USS-USJ6-02-01-11-01,USS,USJ6,02,01,11,01,6,01_11_01_6,True
USS-USJ6-02-01-11-TT,USS,USJ6,02,01,11,TT,6,TT_11_01_6,True
USS-USJ6-02-01-12,USS,USJ6,02,01,12,,5,12_01_02_5,True
USS-USJ6-02-01-12-01,USS,USJ6,02,01,12,01,6,01_12_01_6,True
USS-USJ6-02-01-12-TT,USS,USJ6,02,01,12,TT,6,TT_12_01_6,True
USS-USJ6-02-01-13,USS,USJ6,02,01,13,,5,13_01_02_5,True
USS-USJ6-02-01-13-01,USS,USJ6,02,01,13,01,6,01_13_01_6,True
USS-USJ6-02-01-13-TT,USS,USJ6,02,01,13,TT,6,TT_13_01_6,True
USS-USJ6-02-01-14,USS,USJ6,02,01,14,,5,14_01_02_5,True
USS-USJ6-02-01-14-01,USS,USJ6,02,01,14,01,6,01_14_01_6,True
USS-USJ6-02-01-14-TT,USS,USJ6,02,01,14,TT,6,TT_14_01_6,True
USS-USJ6-02-01-15,USS,USJ6,02,01,15,,5,15_01_02_5,True
USS-USJ6-02-01-15-01,USS,USJ6,02,01,15,01,6,01_15_01_6,True
USS-USJ6-02-01-15-TT,USS,USJ6,02,01,15,TT,6,TT_15_01_6,True
USS-USJ6-02-01-16,USS,USJ6,02,01,16,,5,16_01_02_5,True
USS-USJ6-02-01-16-01,USS,USJ6,02,01,16,01,6,01_16_01_6,True
USS-USJ6-02-01-16-TT,USS,USJ6,02,01,16,TT,6,TT_16_01_6,True
USS-USJ6-02-01-17,USS,USJ6,02,01,17,,5,17_01_02_5,True
USS-USJ6-02-01-17-01,USS,USJ6,02,01,17,01,6,01_17_01_6,True
USS-USJ6-02-01-17-TT,USS,USJ6,02,01,17,TT,6,TT_17_01_6,True
USS-USJ6-02-01-18,USS,USJ6,02,01,18,,5,18_01_02_5,True
USS-USJ6-02-01-18-01,USS,USJ6,02,01,18,01,6,01_18_01_6,True
USS-USJ6-02-01-18-TT,USS,USJ6,02,01,18,TT,6,TT_18_01_6,True
USS-USJ6-02-01-19,USS,USJ6,02,01,19,,5,19_01_02_5,True
USS-USJ6-02-01-19-01,USS,USJ6,02,01,19,01,6,01_19_01_6,True
USS-USJ6-02-01-19-TT,USS,USJ6,02,01,19,TT,6,TT_19_01_6,True
USS-USJ6-02-01-20,USS,USJ6,02,01,20,,5,20_01_02_5,True
USS-USJ6-02-01-20-01,USS,USJ6,02,01,20,01,6,01_20_01_6,True
USS-USJ6-02-01-20-TT,USS,USJ6,02,01,20,TT,6,TT_20_01_6,True
USS-USJ6-02-01-21,USS,USJ6,02,01,21,,5,21_01_02_5,True
USS-USJ6-02-01-21-01,USS,USJ6,02,01,21,01,6,01_21_01_6,True
USS-USJ6-02-01-21-TT,USS,USJ6,02,01,21,TT,6,TT_21_01_6,True
USS-USJ6-02-01-AC,USS,USJ6,02,01,AC,,5,AC_01_02_5,True
USS-USJ6-02-01-AC-GC,USS,USJ6,02,01,AC,GC,6,GC_AC_01_6,True
USS-USJ6-02-01-AC-IP,USS,USJ6,02,01,AC,IP,6,IP_AC_01_6,True
USS-USJ6-02-01-AR,USS,USJ6,02,01,AR,,5,AR_01_02_5,True
USS-USJ6-02-01-CO,USS,USJ6,02,01,CO,,5,CO_01_02_5,True
USS-USJ6-02-01-D1,USS,USJ6,02,01,D1,,5,D1_01_02_5,True
USS-USJ6-02-01-D1-GI,USS,USJ6,02,01,D1,GI,6,GI_D1_01_6,True
USS-USJ6-02-01-D1-MP,USS,USJ6,02,01,D1,MP,6,MP_D1_01_6,True
USS-USJ6-02-01-DS,USS,USJ6,02,01,DS,,5,DS_01_02_5,True
USS-USJ6-02-01-FU,USS,USJ6,02,01,FU,,5,FU_01_02_5,True
USS-USJ6-02-01-HI,USS,USJ6,02,01,HI,,5,HI_01_02_5,True
USS-USJ6-02-01-IS,USS,USJ6,02,01,IS,,5,IS_01_02_5,True
USS-USJ6-02-01-IT,USS,USJ6,02,01,IT,,5,IT_01_02_5,True
USS-USJ6-02-01-PS,USS,USJ6,02,01,PS,,5,PS_01_02_5,True
USS-USJ6-02-01-RC,USS,USJ6,02,01,RC,,5,RC_01_02_5,True
USS-USJ6-02-01-TK,USS,USJ6,02,01,TK,,5,TK_01_02_5,True
USS-USJ6-02-CL,USS,USJ6,02,CL,,,4,CL_02_4,True
USS-USJ6-02-LV,USS,USJ6,02,LV,,,4,LV_02_4,True
USS-USJ6-02-LV-CL,USS,USJ6,02,LV,CL,,5,CL_LV_02_5,True
USS-USJ6-02-LV-LA,USS,USJ6,02,LV,LA,,5,LA_LV_02_5,True
USS-USJ6-02-LV-LA-IT,USS,USJ6,02,LV,LA,IT,6,IT_LA_LV_6,True
USS-USJ6-02-LV-LA-TR,USS,USJ6,02,LV,LA,TR,6,TR_LA_LV_6,True
USS-USJ6-02-LV-LA-UN,USS,USJ6,02,LV,LA,UN,6,UN_LA_LV_6,True
USS-USJ6-02-LV-LA-UP,USS,USJ6,02,LV,LA,UP,6,UP_LA_LV_6,True
USS-USJ6-02-LV-LP,USS,USJ6,02,LV,LP,,5,LP_LV_02_5,True
USS-USJ6-02-LV-LP-01,USS,USJ6,02,LV,LP,01,6,01_LP_LV_6,True
USS-USJ6-02-LV-LP-CO,USS,USJ6,02,LV,LP,CO,6,CO_LP_LV_6,True
USS-USJ6-02-MV,USS,USJ6,02,MV,,,4,MV_02_4,True
USS-USJ6-02-MV-CL,USS,USJ6,02,MV,CL,,5,CL_MV_02_5,True
USS-USJ6-02-MV-IT,USS,USJ6,02,MV,IT,,5,IT_MV_02_5,True
USS-USJ6-02-MV-PR,USS,USJ6,02,MV,PR,,5,PR_MV_02_5,True
USS-USJ6-02-MV-SZ,USS,USJ6,02,MV,SZ,,5,SZ_MV_02_5,True
USS-USJ6-02-OC,USS,USJ6,02,OC,,,4,OC_02_4,True
USS-USJ6-02-OC-FO,USS,USJ6,02,OC,FO,,5,FO_OC_02_5,True
USS-USJ6-02-OC-MR,USS,USJ6,02,OC,MR,,5,MR_OC_02_5,True
USS-USJ6-02-ST,USS,USJ6,02,ST,,,4,ST_02_4,True
USS-USJ6-02-ST-S1,USS,USJ6,02,ST,S1,,5,S1_ST_02_5,True
USS-USJ6-02-ST-S2,USS,USJ6,02,ST,S2,,5,S2_ST_02_5,True
USS-USJ6-02-ST-S4,USS,USJ6,02,ST,S4,,5,S4_ST_02_5,True
USS-USJ6-02-T1,USS,USJ6,02,T1,,,4,T1_02_4,True
USS-USJ6-02-T1-PT,USS,USJ6,02,T1,PT,,5,PT_T1_02_5,True
USS-USJ6-02-TC,USS,USJ6,02,TC,,,4,TC_02_4,True
USS-USJ6-02-TC-AP,USS,USJ6,02,TC,AP,,5,AP_TC_02_5,True
USS-USJ6-02-TC-LN,USS,USJ6,02,TC,LN,,5,LN_TC_02_5,True
USS-USJ6-02-TS,USS,USJ6,02,TS,,,4,TS_02_4,True
USS-USJ6-02-TS-TA,USS,USJ6,02,TS,TA,,5,TA_TS_02_5,True
USS-USJ6-02-TS-TS,USS,USJ6,02,TS,TS,,5,TS_TS_02_5,True
USS-USJ6-02-TT,USS,USJ6,02,TT,,,4,TT_02_4,True
USS-USJ6-02-UP,USS,USJ6,02,UP,,,4,UP_02_4,True
USS-USJ6-03,USS,USJ6,03,,,,3,,True
USS-USJ6-03-01,USS,USJ6,03,01,,,4,01_03_4,True
USS-USJ6-03-01-01,USS,USJ6,03,01,01,,5,01_01_03_5,True
USS-USJ6-03-01-01-01,USS,USJ6,03,01,01,01,6,01_01_01_6,True
USS-USJ6-03-01-01-TT,USS,USJ6,03,01,01,TT,6,TT_01_01_6,True
USS-USJ6-03-01-02,USS,USJ6,03,01,02,,5,02_01_03_5,True
USS-USJ6-03-01-02-01,USS,USJ6,03,01,02,01,6,01_02_01_6,True
USS-USJ6-03-01-02-TT,USS,USJ6,03,01,02,TT,6,TT_02_01_6,True
USS-USJ6-03-01-03,USS,USJ6,03,01,03,,5,03_01_03_5,True
USS-USJ6-03-01-03-01,USS,USJ6,03,01,03,01,6,01_03_01_6,True
USS-USJ6-03-01-03-TT,USS,USJ6,03,01,03,TT,6,TT_03_01_6,True
USS-USJ6-03-01-04,USS,USJ6,03,01,04,,5,04_01_03_5,True
USS-USJ6-03-01-04-01,USS,USJ6,03,01,04,01,6,01_04_01_6,True
USS-USJ6-03-01-04-TT,USS,USJ6,03,01,04,TT,6,TT_04_01_6,True
USS-USJ6-03-01-05,USS,USJ6,03,01,05,,5,05_01_03_5,True
USS-USJ6-03-01-05-01,USS,USJ6,03,01,05,01,6,01_05_01_6,True
USS-USJ6-03-01-05-TT,USS,USJ6,03,01,05,TT,6,TT_05_01_6,True
USS-USJ6-03-01-06,USS,USJ6,03,01,06,,5,06_01_03_5,True
USS-USJ6-03-01-06-01,USS,USJ6,03,01,06,01,6,01_06_01_6,True
USS-USJ6-03-01-06-TT,USS,USJ6,03,01,06,TT,6,TT_06_01_6,True
USS-USJ6-03-01-07,USS,USJ6,03,01,07,,5,07_01_03_5,True
USS-USJ6-03-01-07-01,USS,USJ6,03,01,07,01,6,01_07_01_6,True
USS-USJ6-03-01-07-TT,USS,USJ6,03,01,07,TT,6,TT_07_01_6,True
USS-USJ6-03-01-08,USS,USJ6,03,01,08,,5,08_01_03_5,True
USS-USJ6-03-01-08-01,USS,USJ6,03,01,08,01,6,01_08_01_6,True
USS-USJ6-03-01-08-TT,USS,USJ6,03,01,08,TT,6,TT_08_01_6,True
USS-USJ6-03-01-09,USS,USJ6,03,01,09,,5,09_01_03_5,True
USS-USJ6-03-01-09-01,USS,USJ6,03,01,09,01,6,01_09_01_6,True
USS-USJ6-03-01-09-TT,USS,USJ6,03,01,09,TT,6,TT_09_01_6,True
USS-USJ6-03-01-10,USS,USJ6,03,01,10,,5,10_01_03_5,True
USS-USJ6-03-01-10-01,USS,USJ6,03,01,10,01,6,01_10_01_6,True
USS-USJ6-03-01-10-TT,USS,USJ6,03,01,10,TT,6,TT_10_01_6,True
USS-USJ6-03-01-11,USS,USJ6,03,01,11,,5,11_01_03_5,True
USS-USJ6-03-01-11-01,USS,USJ6,03,01,11,01,6,01_11_01_6,True
USS-USJ6-03-01-11-TT,USS,USJ6,03,01,11,TT,6,TT_11_01_6,True
USS-USJ6-03-01-12,USS,USJ6,03,01,12,,5,12_01_03_5,True
USS-USJ6-03-01-12-01,USS,USJ6,03,01,12,01,6,01_12_01_6,True
USS-USJ6-03-01-12-TT,USS,USJ6,03,01,12,TT,6,TT_12_01_6,True
USS-USJ6-03-01-13,USS,USJ6,03,01,13,,5,13_01_03_5,True
USS-USJ6-03-01-13-01,USS,USJ6,03,01,13,01,6,01_13_01_6,True
USS-USJ6-03-01-13-TT,USS,USJ6,03,01,13,TT,6,TT_13_01_6,True
USS-USJ6-03-01-14,USS,USJ6,03,01,14,,5,14_01_03_5,True
USS-USJ6-03-01-14-01,USS,USJ6,03,01,14,01,6,01_14_01_6,True
USS-USJ6-03-01-14-TT,USS,USJ6,03,01,14,TT,6,TT_14_01_6,True
USS-USJ6-03-01-15,USS,USJ6,03,01,15,,5,15_01_03_5,True
USS-USJ6-03-01-15-01,USS,USJ6,03,01,15,01,6,01_15_01_6,True
USS-USJ6-03-01-15-TT,USS,USJ6,03,01,15,TT,6,TT_15_01_6,True
USS-USJ6-03-01-16,USS,USJ6,03,01,16,,5,16_01_03_5,True
USS-USJ6-03-01-16-01,USS,USJ6,03,01,16,01,6,01_16_01_6,True
USS-USJ6-03-01-16-TT,USS,USJ6,03,01,16,TT,6,TT_16_01_6,True
USS-USJ6-03-01-17,USS,USJ6,03,01,17,,5,17_01_03_5,True
USS-USJ6-03-01-17-01,USS,USJ6,03,01,17,01,6,01_17_01_6,True
