FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkW-yyyy-nL-CO-GE;Generator / Winch Assembly;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-CO-AR;Cooling Fans;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-CO-UP;UPS;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC;Main Crane;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC-OD;Outer Drum;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC-BA;Battery arm panel;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC-AB;Arm Base;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC-AB-01;Base GE 1.5 ;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC-AB-02;Base xxxxxxx;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC-AB-nn;Base yyyyyyy;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC-CA;Crane Arm;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC-HK;Hook;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC-DS;Drum Sheave Belt;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC-SH;Sheaves;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC-SI;Yaw System;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-MC-PF;Pins and fasteners;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-HY;Hydraulic and Pneumatic components;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-HY-FJ;Flexible hoses and junctions;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-HY-TJ;Threaded/clamped joints;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-HY-HP;Hydraulic pumps;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-HY-HV;Hydraulic valves;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-HY-HF;Hydraulic Filters;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-HY-HC;Hydraulic cylinders;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-HY-HC-MC;Main Cylinder / Boom Cylinder;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-HY-HC-RC;Raise Cylinder;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-OC;Civil works;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-OC-LA;Steps/Ladders/Catwalks/Guards;0000;71;0000;;FL_LIFTRA;FL00000W
kkW-yyyy-nL-WR;Wire rope;0000;71;0000;;FL_LIFTRA;FL00000W
