FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkH-yyyy-Gk-MMx-20-14;Interuttore ;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MMx-20-16;Sezionatore;0000;11;1150;STL;FL_MVSECT;FL00000H
kkH-yyyy-Gk-MMx-21;Collegamenti e apparecchiature di manovra per l'avviamento gruppi reversibili e pompe;0000;11;1150;ALI;FL_MVSECT;FL00000H
kkH-yyyy-Gk-HVx;Sezione di smistamento AT;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-10;Sensori di corrente e di tensione (TA/TV);0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-10-01;Trasformatore di corrente;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-10-02;Trasformatore di tensione;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-11;Stallo linea AT;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-11-14;Interuttore ;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-11-16;Sezionatore;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-12;Automatismi servizi ausialiari AT;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-13;Collegamenti AT;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-14;Stallo parallelo e.o traslazione;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-14-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-14-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-15;Stallo trasformatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-15-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-15-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-16;Linee di proprieta' AT;0000;11;1150;LNA;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-18;Contatori energia;0000;11;1180;ALI;FL_AUT&CON;FL00000H
kkH-yyyy-Gk-HVx-19;Protezioni elettriche ;0000;11;1180;ALI;FL_AUT&CON;FL00000H
kkH-yyyy-Gk-HVx-20;Stallo rifasamento;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-20-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-20-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-21;Stallo conversione;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-21-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-21-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-22;Stallo S.A.;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-22-14;Interuttore ;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-HVx-22-16;Sezionatore;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x;Sezione di smistamento AT 380 kV;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-10;Sensori di corrente e di tensione (TA/TV);0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-10-01;Trasformatore di corrente;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-10-02;Trasformatore di tensione;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-11;Stallo linea AT;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-11-14;Interuttore ;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-11-16;Sezionatore;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-12;Automatismi servizi ausialiari AT;0000;11;1150;ALI;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-13;Collegamenti AT;0000;11;1150;STL;FL_HVSECT;FL00000H
kkH-yyyy-Gk-H1x-14;Stallo parallelo e.o traslazione;0000;11;1150;STL;FL_HVSECT;FL00000H
