FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile
kkE-yyyy-xE-nn-Pm-AC;AC Section;0000;51;5180;;FL_PCSCOMP;FL00000E
kkE-yyyy-xE-nn-Pm-AR;Cooling Fans;0000;51;5180;;FL_PCSCOMP;FL00000E
kkE-yyyy-xE-nn-Pm-TK;PCS Enclosure;0000;51;5180;;FL_PCSCOMP;FL00000E
kkE-yyyy-xE-nn-Pm-HI;Human machine interface;0000;51;5180;;FL_PCSCOMP;FL00000E
kkE-yyyy-xE-nn-Pm-DS;DC Disconnect Switch;0000;51;5180;;FL_PCSCOMP;FL00000E
kkE-yyyy-xE-nn-Pm-PS;External Power supply;0000;51;5180;;FL_PCSCOMP;FL00000E
kkE-yyyy-xE-nn-Pm-RC;Remote communication ;0000;51;5180;;FL_PCSCOMP;FL00000E
kkE-yyyy-xE-nn-Pm-LC;Liquid Cooling System;0000;51;5180;;FL_PCSCOMP;FL00000E
kkE-yyyy-xE-nn-Cn-AC;Array Controller;0000;51;5180;;FL_AUT&CON;FL00000E
kkE-yyyy-xE-nn-Cn-CL;Cable;0000;51;5180;;FL_CONTCOM;FL00000E
kkE-yyyy-xE-nn-Cn-CP;Container Fire fighting Control panel ;0000;51;5180;;FL_SAFSYST;FL00000E
kkE-yyyy-xE-nn-Cn-DS;Door Switch;0000;51;5180;;FL_CONTCOM;FL00000E
kkE-yyyy-xE-nn-Cn-EN;Enclosure structure;0000;51;5180;;FL_INFRAST;FL00000E
kkE-yyyy-xE-nn-Cn-FD;Fire Detection;0000;51;5150;;FL_SAFSYST;FL00000E
kkE-yyyy-xE-nn-Cn-FS;Fire Figthing (sprinker & agent storage);0000;51;5180;;FL_SAFSYST;FL00000E
kkE-yyyy-xE-nn-Cn-GI;Ground Impedence System;0000;51;5180;;FL_CONTCOM;FL00000E
kkE-yyyy-xE-nn-Cn-HV;HVAC;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-xE-nn-Cn-LC;Liquid Cooling System;0000;51;5180;;FL_CONTCOM;FL00000E
kkE-yyyy-xE-nn-Cn-MS;Master Battery Control System (MBMS);0000;51;5180;;FL_AUT&CON;FL00000E
kkE-yyyy-xE-nn-Cn-OC;Civil Work;0000;51;5180;;FL_INFRAST;FL00000E
kkE-yyyy-xE-nn-Cn-PL;Container Safety PLC;0000;51;5180;;FL_AUT&CON;FL00000E
kkE-yyyy-xE-nn-Cn-SA;Auxiliary distribution box;0000;51;5180;;FL_AUXSYST;FL00000E
kkE-yyyy-xE-nn-Cn-UP;UPS;0000;51;5180;;FL_AUT&CON;FL00000E
kkE-yyyy-xE-nn-Cn;Battery Container & Ancillary system;0000;51;5150;;FL_BATCONT;FL00000E
kkE-yyyy-xE-nn-Bm;Battery Bank;0000;51;5180;;FL_BATBANK;FL00000E
kkE-yyyy-xE-nn-Bm-BM;Battery Racks/Strings;0000;51;5180;;FL_BAT;FL00000E
kkE-yyyy-xE-nn-Bm-BS;Battery Management System (BMS);0000;51;5180;;FL_AUT&CON;FL00000E
kkE-yyyy-xE-nn-Bm-CB;Battery Control Box;0000;51;5180;;FL_AUT&CON;FL00000E
kkE-yyyy-xE-nn-Bm-BC;Battery Combiner;0000;51;5180;;FL_BAT;FL00000E
kkE-yyyy-WE;Bess Common West/North;;;;;;FL00000E
kkE-yyyy-WE-SA;BESS Dedicated Auxiliary System;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-WE-SA-DG;Backup Generator;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-WE-SA-TS;AutomaticTransferSwitch (ATS);0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-WE-SA-UP;UPS;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-WE-SA-TR;Ausiliary Transformer;0000;51;5150;;FL_TRANSF;FL00000E
kkE-yyyy-WE-SA-IT;Circuit Breaker;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-WE-SA-EP;External Power Supply;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-WE-SA-ME;Auxiliary Meters;0000;51;5150;;FL_AUXSYST;FL00000E
kkE-yyyy-WE-N0;BESS Control System;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-WE-N0-SC;BESS SCADA;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-WE-N0-SW;Switch-router;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-WE-N0-CC;Control Card;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-WE-N0-HM;HMI;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-WE-N0-CM;Communication cable;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-WE-N0-PL;Centralized Safety PLC;0000;51;5190;;FL_AUT&CON;FL00000E
kkE-yyyy-WE-N0-HV;HVAC;0000;51;5150;;FL_AUXSYST;FL00000E
